Parcelle;Espèce;Plants;Age;Age Brut;Dates de plantation;Plants Productifs;Taux de Productivité (%);Poids produit (g);Nombre de truffe;Poids moyen (g);Production au plant (g)
A1;Chêne pubescent;69;2;2;10/10/2021;0;0,0;0;0;0;0,0
A1;Chêne pubescent;180;2;3;12/05/2020;0;0,0;0;0;0;0,0
A1;Chêne pubescent;549;5;5;12/03/2019;0;0,0;0;0;0;0,0
A2;Chêne pubescent;426;2;3;05/05/2020;1;0,23;13;1;13,0;0,03
A2;Chêne pubescent;4;2;2;10/10/2021;0;0,0;0;0;0;0,0
A2;Chêne vert;11;1;2;10/10/2021;0;0,0;0;0;0;0,0
A2;Chêne vert;486;2;3;05/05/2020;1;0,21;13;1;13,0;0,03
B1;Chêne pubescent;178;2;2;10/10/2021;0;0,0;0;0;0;0,0
B1;Chêne pubescent;221;2;3;04/05/2020;0;0,0;0;0;0;0,0
B1;Chêne pubescent;1300;5;5;20/02/2019;4;0,31;90;4;22,5;0,07
B2;Chêne pubescent;117;2;3;05/05/2020;0;0,0;0;0;0;0,0
B2;Chêne pubescent;89;2;2;10/10/2021;0;0,0;0;0;0;0,0
B2;Chêne pubescent;957;5;5;06/03/2019;6;0,63;364;7;52,0;0,38
C;Chêne pubescent;94;2;2;10/10/2021;0;0,0;0;0;0;0,0
C;Chêne pubescent;1881;4;4;24/01/2020;0;0,0;0;0;0;0,0
D1;Chêne pubescent;72;1;1;13/02/2023;0;0,0;0;0;0;0,0
D1;Chêne pubescent;78;2;2;10/10/2021;0;0,0;0;0;0;0,0
D1;Chêne pubescent;1327;4;4;02/03/2020;1;0,08;25;1;25,0;0,02
D2;Chêne pubescent;57;1;1;13/02/2023;0;0,0;0;0;0;0,0
D2;Chêne pubescent;48;2;2;10/10/2021;0;0,0;0;0;0;0,0
D2;Chêne pubescent;1882;4;4;21/01/2020;1;0,05;32;2;16,0;0,02
E1;Chêne pubescent;2631;2;3;21/04/2020;6;0,23;176;10;17,6;0,07
E1;Chêne pubescent;100;2;2;10/10/2021;0;0,0;0;0;0;0,0
E2;Charme commun;48;1;2;10/10/2021;0;0,0;0;0;0;0,0
E2;Charme commun;535;4;4;04/03/2020;1;0,19;14;1;14,0;0,03
E2;Chêne pubescent;71;2;2;10/10/2021;0;0,0;0;0;0;0,0
E2;Chêne pubescent;1593;4;4;04/03/2020;1;0,06;58;1;58,0;0,04
F;Chêne pubescent;26;2;2;10/10/2021;0;0,0;0;0;0;0,0
F;Chêne pubescent;1328;4;5;11/04/2018;0;0,0;0;0;0;0,0
F;Chêne pubescent;63;4;4;22/11/2019;0;0,0;0;0;0;0,0
G;Chêne vert;12;1;2;10/10/2021;0;0,0;0;0;0;0,0
G;Chêne vert;1696;4;5;23/04/2018;3;0,18;30;3;10,0;0,02
G;Chêne vert;45;4;4;27/11/2019;0;0,0;0;0;0;0,0
H;Chêne pubescent;22;2;2;10/10/2021;0;0,0;0;0;0;0,0
H;Chêne pubescent;1746;4;5;17/04/2018;4;0,23;158;6;26,33;0,09
H;Chêne pubescent;33;4;4;22/11/2019;0;0,0;0;0;0;0,0
H;Chêne pédonculé;2;1;2;10/10/2021;0;0,0;0;0;0;0,0
H;Chêne pédonculé;11;3;4;22/11/2019;0;0,0;0;0;0;0,0
H;Chêne pédonculé;477;4;5;17/04/2018;0;0,0;0;0;0;0,0
I;Charme commun;596;4;5;27/04/2018;7;1,17;475;7;67,86;0,8
I;Chêne chevelu;12;2;2;10/10/2021;0;0,0;0;0;0;0,0
I;Chêne chevelu;24;4;4;22/11/2019;0;0,0;0;0;0;0,0
I;Chêne chevelu;474;4;5;27/04/2018;19;4,01;1762;31;56,84;3,72
I;Chêne pubescent;5;2;2;10/10/2021;0;0,0;0;0;0;0,0
I;Chêne pubescent;289;4;5;27/04/2018;8;2,77;630;10;63,0;2,18
I;Chêne pubescent;9;4;4;22/11/2019;0;0,0;0;0;0;0,0
I;Chêne vert;35;1;2;10/10/2021;0;0,0;0;0;0;0,0
I;Chêne vert;132;4;4;27/11/19 to 28/11/19;0;0,0;0;0;0;0,0
J;Chêne chevelu;8;2;2;10/10/2021;0;0,0;0;0;0;0,0
J;Chêne chevelu;14;4;4;22/11/2019;0;0,0;0;0;0;0,0
J;Chêne chevelu;242;4;5;16/05/2018;0;0,0;0;0;0;0,0
J;Chêne pubescent;11;2;2;10/10/2021;0;0,0;0;0;0;0,0
J;Chêne pubescent;6;4;4;22/11/2019;0;0,0;0;0;0;0,0
J;Chêne pubescent;814;4;5;16/05/18 to 22/11/18;0;0,0;0;0;0;0,0
J;Chêne vert;39;1;2;10/10/2021;0;0,0;0;0;0;0,0
J;Chêne vert;1;4;4;27/11/2019;0;0,0;0;0;0;0,0
J;Chêne vert;493;5;5;22/11/2018;1;0,2;6;1;6,0;0,01
K;Charme commun;42;1;2;10/10/2021;0;0,0;0;0;0;0,0
K;Charme commun;87;2;3;13/05/2020;0;0,0;0;0;0;0,0
K;Charme commun;32;4;4;24/01/2020;0;0,0;0;0;0;0,0
K;Charme commun;413;5;5;11/01/2019;0;0,0;0;0;0;0,0
K;Chêne pubescent;87;2;3;13/05/2020;0;0,0;0;0;0;0,0
K;Chêne pubescent;90;2;2;10/10/2021;0;0,0;0;0;0;0,0
K;Chêne pubescent;48;4;4;24/01/2020;0;0,0;0;0;0;0,0
K;Chêne pubescent;931;5;5;11/01/2019;1;0,11;38;1;38,0;0,04
K;Chêne vert;18;1;2;10/10/2021;0;0,0;0;0;0;0,0
K;Chêne vert;5;2;3;13/05/2020;0;0,0;0;0;0;0,0
K;Chêne vert;22;4;4;24/01/2020;0;0,0;0;0;0;0,0
K;Chêne vert;536;5;5;11/01/2019;0;0,0;0;0;0;0,0
L;Chêne vert;43;1;2;10/10/2021;0;0,0;0;0;0;0,0
L;Chêne vert;10;4;4;27/11/2019;0;0,0;0;0;0;0,0
L;Chêne vert;1551;5;5;29/11/2018;4;0,26;509;4;127,25;0,33
LP;Bouleau blanc;66;3;3;31/03/2021;0;0,0;0;0;0;0,0
LP;Charme commun;90;3;3;31/03/2021;0;0,0;0;0;0;0,0
LP;Chêne chevelu;50;3;3;31/03/2021;0;0,0;0;0;0;0,0
LP;Chêne pubescent;60;3;3;31/03/2021;0;0,0;0;0;0;0,0
LP;Chêne pédonculé;60;3;3;31/03/2021;0;0,0;0;0;0;0,0
LP;Chêne vert;76;3;3;31/03/2021;0;0,0;0;0;0;0,0
LP;Noisetier de Byzance/Collurna;16;3;3;31/03/2021;0;0,0;0;0;0;0,0
LP;Pin d'Alep;40;3;3;31/03/2021;0;0,0;0;0;0;0,0
LP;Saule blanc;16;3;3;31/03/2021;0;0,0;0;0;0;0,0
LP;Tilleul à petites feuilles;90;3;3;31/03/2021;0;0,0;0;0;0;0,0